__typename,id,us_item_id,name,catalog_product_type,thumbnail_url,item_type,category_path_id,buy_now_eligible,class_type,average_rating,number_of_reviews,seller_name,url,price,is_preowned,availability_status_display_value,availability_status,image_url,is_out_of_stock,sales_unit,modular_stack_key,short_description,brand,average_weight,weight_increment,additional_offer_count,availability_in_nearbyStore
Product,7I16EOCS77VM,609040889,"Apple MacBook Air 13.3 inch Laptop - Space Gray, M1 Chip, Built for Apple Intelligence, 8GB RAM, 256GB storage",Laptop Computers,https://i5.walmartimages.com/seo/Apple-MacBook-Air-13-3-inch-Laptop-Space-Gray-M1-Chip-Built-for-Apple-Intelligence-8GB-RAM-256GB-storage_581b24d7-f665-4ae8-86c7-3fe6029eda95.781a87b30356810385b0d098d3a75b91.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,,0:3944:1089430:3951:8945805:4302526,True,VARIANT,4.5,9074.0,Walmart.com,https://walmart.com/ip/Apple-MacBook-Air-13-3-inch-Laptop-Space-Gray-M1-Chip-Built-for-Apple-Intelligence-8GB-RAM-256GB-storage/609040889?classType=VARIANT,599.0,False,In stock,IN_STOCK,https://i5.walmartimages.com/seo/Apple-MacBook-Air-13-3-inch-Laptop-Space-Gray-M1-Chip-Built-for-Apple-Intelligence-8GB-RAM-256GB-storage_581b24d7-f665-4ae8-86c7-3fe6029eda95.781a87b30356810385b0d098d3a75b91.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,False,EACH,5817fecc-2b46-4f8d-9a6c-2fddc1a7f487,Take on everything from professional-quality editing to action-packed gaming with ease. The Apple M1 chip with an 8-core CPU delivers up to 3.5x faster performance than the previous generation while,,,1,,True
Product,4G157B3HVQ21,458468524,"Restored MacBook pro 13"" Touch Bar i5 2.9GHz 8Gb ram 256 GB SSD (MLH12LL/A) (Refurbished)",Laptop Computers,https://i5.walmartimages.com/asr/a21c109b-258e-4107-9fff-455bce6317b9.45402c71f92e49bffbc1a5ef9bd6e2ff.jpeg,,0:3944:1089430:3951:8945805:6996875,True,REGULAR,3.7,122.0,RevitaTech,https://walmart.com/ip/Restored-MacBook-pro-13-Touch-Bar-i5-2-9GHz-8Gb-ram-256-GB-SSD-MLH12LL-A-Refurbished/458468524?conditionGroupCode=2&classType=REGULAR&athbdg=L1800,297.0,True,In stock,IN_STOCK,https://i5.walmartimages.com/asr/a21c109b-258e-4107-9fff-455bce6317b9.45402c71f92e49bffbc1a5ef9bd6e2ff.jpeg,False,EACH,5817fecc-2b46-4f8d-9a6c-2fddc1a7f487,<li>13.-inch (diagonal) widescreen display with support for millions of colors</li><li>8 GB of onboard memory</li><li>2.9 GHz dual-core Intel Core i5 processor</li><li>This model was introduced in</li>,,,1,3.0,False
Product,4BUMMC6O9WJ9,235188387,"Restored Apple MacBook Air 13.3"" (2020) MWTJ2LL/A Intel Core i3 - 8GB Memory, 256GB SSD - Space Gray (Refurbished)",Laptop Computers,https://i5.walmartimages.com/asr/719aceed-e6dc-4485-be5f-9c3527b339f4.28245fb0e97c2b07e2152f620760ca3a.jpeg,,0:3944:1089430:3951:8945805:4302526,True,VARIANT,3.6,141.0,Reliance,https://walmart.com/ip/Restored-Apple-MacBook-Air-13-3-2020-MWTJ2LL-A-Intel-Core-i3-8GB-Memory-256GB-SSD-Space-Gray-Refurbished/235188387?conditionGroupCode=2&classType=VARIANT,318.0,True,In stock,IN_STOCK,https://i5.walmartimages.com/asr/719aceed-e6dc-4485-be5f-9c3527b339f4.28245fb0e97c2b07e2152f620760ca3a.jpeg,False,EACH,5817fecc-2b46-4f8d-9a6c-2fddc1a7f487,"<li>Display: 13.3 inchLED-backlit ""Retina"" display with IPS and True Tone technology, Resolution: 2560 x 1600 pixel</li><li>Internal Memory: 256GB, 8GB RAM</li><li>Iris Plus - 10th Gen ""Intel Mobile</li>",,,1,,False
Product,1JAR4J2LPH19,15512210113,"Apple 13"" MacBook Air with M4 chip, 10-core CPU / 8-core GPU, 16GB Memory, 256GB SSD - Midnight",Laptop Computers,https://i5.walmartimages.com/seo/Apple-13-inch-MacBook-Air-M4-w-10-core-CPU-and-8-core-GPU-256GB-SSD-Midnight-MW123LL-A-2025_e38f7852-22cb-4e81-a459-bd3ce7abf744.229dceefaf6e6bdca663d61c90f847e4.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,,0:3944:1089430:3951:8945805:4302526,True,VARIANT,4.4,314.0,Adorama,https://walmart.com/ip/Apple-13-inch-MacBook-Air-M4-w-10-core-CPU-and-8-core-GPU-256GB-SSD-Midnight-MW123LL-A-2025/15512210113?classType=VARIANT&athbdg=L1103,854.0,False,In stock,IN_STOCK,https://i5.walmartimages.com/seo/Apple-13-inch-MacBook-Air-M4-w-10-core-CPU-and-8-core-GPU-256GB-SSD-Midnight-MW123LL-A-2025_e38f7852-22cb-4e81-a459-bd3ce7abf744.229dceefaf6e6bdca663d61c90f847e4.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,False,EACH,5817fecc-2b46-4f8d-9a6c-2fddc1a7f487,<li>Supercharged by M4</li><li>Built for Apple Intelligence</li><li>Up to 18 Hours of Battery Life</li><li>13.6 inch Liquid Retina Display</li>,,,1,,False
Product,5ZGQKLF24XS8,446815488,"Restored Apple MQD32LL/A MacBook Air 13.3"" WXGA+ I5-5350U 1.8GHz Intel HD Graphics 6000 8GB RAM 128GB SSD MacOS Silver",Laptop Computers,https://i5.walmartimages.com/asr/6ee27756-0ade-4d33-bd09-de43c566280f.40da3de86d3f06ba078ae39daa30fdce.jpeg,,0:3944:1089430:3951:8945805:4302526,True,VARIANT,3.9,530.0,RevitaTech,https://walmart.com/ip/Restored-Apple-13-3-MacBook-Air-Intel-Core-i5-Silver-8GB-RAM-128GB-SSD-Mid-2017-Refurbished/446815488?conditionGroupCode=2&classType=VARIANT,194.0,True,In stock,IN_STOCK,https://i5.walmartimages.com/asr/6ee27756-0ade-4d33-bd09-de43c566280f.40da3de86d3f06ba078ae39daa30fdce.jpeg,False,EACH,5817fecc-2b46-4f8d-9a6c-2fddc1a7f487,"Restored Apple MacBook Air, 13.3-inch, Intel Core i5, 8GB RAM, Mac OS, 256GB SSD, and Bundle Includes: Black Case, Wireless Mouse, Bluetooth Headset - Silver",,,1,,
Product,0U5NL4O96VTH,1467493760,Restored Apple MacBook Pro (2019) - Core i5 - 1.4 GHz - 13-Inch Display with Touch Bar - 8GB 128GB SSD - Space Gray - MUHN2LL/A (Refurbished),Laptop Computers,https://i5.walmartimages.com/asr/bbf0c4c7-2e62-4c8d-8992-fa3524688a85.38ac057f28df88d7ee7b0704da48317b.jpeg,,0:3944:1089430:3951:8945805:6996875,True,REGULAR,4.0,26.0,RevitaTech,https://walmart.com/ip/Pre-Owned-Apple-MacBook-Pro-2019-Core-i5-1-4-GHz-13-Inch-Display-with-Touch-Bar-8GB-128GB-SSD-Space-Gray-MUHN2LL-A-Good/1467493760?conditionGroupCode=2&classType=REGULAR&athbdg=L1800,288.9,True,In stock,IN_STOCK,https://i5.walmartimages.com/asr/bbf0c4c7-2e62-4c8d-8992-fa3524688a85.38ac057f28df88d7ee7b0704da48317b.jpeg,False,EACH,5817fecc-2b46-4f8d-9a6c-2fddc1a7f487,"Scratch & Dent Description: Refurbished Scratch and Dent condition"" products have been restored to working order by our certified technicians. Prior to shipment, the products undergo extensive",,,1,,False
Product,4736TRES8XVT,625340907,"Restored Apple MacBook Pro MPXQ2LL/A 13.3"" 8GB 128GB SSD Core i5-7360U 2.3GHz macOS,Space Gray (Refurbished)",Laptop Computers,https://i5.walmartimages.com/asr/c316d541-37f3-4b4b-9a1e-f5d265bdaa70.a66765fcf7ea692ae2f47fc32d02ac53.jpeg,,0:3944:1089430:3951:8945805:6996875,True,REGULAR,3.6,53.0,RevitaTech,https://walmart.com/ip/Apple-MacBook-Pro-MPXQ2LL-A-13-3-8GB-128GB-SSD-Core-i5-7360U-2-3GHz-macOS-nbsp-Space-Gray-Certified-Used/625340907?conditionGroupCode=2&classType=REGULAR&athbdg=L1800,226.0,True,In stock,IN_STOCK,https://i5.walmartimages.com/asr/c316d541-37f3-4b4b-9a1e-f5d265bdaa70.a66765fcf7ea692ae2f47fc32d02ac53.jpeg,False,EACH,5817fecc-2b46-4f8d-9a6c-2fddc1a7f487,"<li>This Certified Refurbished product is tested and certified to look and work like new. The refurbishing process includes functionality testing, basic cleaning, inspection, and repackaging. The</li>",,,1,1.0,False
Product,39JRPF5I238L,365755986,"Restored Apple MacBook Air 13.3"" WQXGA Apple M1 3.2GHz Apple M1 Graphics 8GB RAM 256GB SSD MacOS - Gold",Laptop Computers,https://i5.walmartimages.com/asr/4b2acdaf-4d25-4d6b-956c-f57dc0830b01.be7db2227e61a17bf0d571bca48ac9d8.jpeg,,0:3944:1089430:3951:8945805:4302526,True,VARIANT,4.4,67.0,RevitaTech,https://walmart.com/ip/Refurbished-Apple-MGND3LL-A-MacBook-Air-13-3-WQXGA-Apple-M1-3-2GHz-Apple-M1-Graphics-8GB-RAM-256GB-SSD-MacOS-Gold/365755986?conditionGroupCode=2&classType=VARIANT&athbdg=L1800,409.0,True,In stock,IN_STOCK,https://i5.walmartimages.com/asr/4b2acdaf-4d25-4d6b-956c-f57dc0830b01.be7db2227e61a17bf0d571bca48ac9d8.jpeg,False,EACH,5817fecc-2b46-4f8d-9a6c-2fddc1a7f487,"<li>M1 8-Core 3.2GHz</li><li>8GB Memory, 256gb SSD</li><li>Retina display</li><li>Comes with a wall charger</li>",,,1,,False
Product,0WVGX3MZUQD9,560118532,"Restored Apple 15.4-inch MacBook Pro Laptop, 16GB RAM, 256GB SSD Silver (Refurbished)",Laptop Computers,https://i5.walmartimages.com/asr/99094445-e86f-4329-aff2-ae5a5054cfe0.ff2f70c131c83e94bf2fa8470952d479.jpeg,,0:3944:1089430:3951:8945805:6996875,True,REGULAR,3.6,100.0,RevitaTech,https://walmart.com/ip/Restored-Apple-15-4-inch-MacBook-Pro-Laptop-16GB-RAM-256GB-SSD-Silver-Refurbished/560118532?conditionGroupCode=2&classType=REGULAR,349.0,True,In stock,IN_STOCK,https://i5.walmartimages.com/asr/99094445-e86f-4329-aff2-ae5a5054cfe0.ff2f70c131c83e94bf2fa8470952d479.jpeg,False,EACH,5817fecc-2b46-4f8d-9a6c-2fddc1a7f487,<li>Display</li><li>Retina display</li><li>15.4-inch (diagonal) LED-backlit display with IPS technology (2880 x 1800 native resolution)</li></li><li>Processor</li><li>2.2GHz quad-core Intel Core i7</li>,,,1,1.0,False
Product,3QYIC3FV82JD,18172505141,"Apple 14-in MacBook Pro M5 chip w 10-core CPU and 10-core GPU, 512GB SSD - Space Black - MDE04LL/A - (Oct 2025)",Laptop Computers,https://i5.walmartimages.com/seo/Apple-14-in-MacBook-Pro-M5-chip-w-10-core-CPU-and-10-core-GPU-512GB-SSD-Space-Black-MDE04LL-A-Oct-2025_4e3b8c12-f9f5-48d3-a583-d88c4c43eba8.0e0f740308ed071c0fa921b14f18c6da.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,,0:3944:1089430:3951:8945805:6996875,True,VARIANT,4.6,30.0,Adorama,https://walmart.com/ip/Apple-14-in-MacBook-Pro-M5-chip-w-10-core-CPU-and-10-core-GPU-512GB-SSD-Space-Black-MDE04LL-A-Oct-2025/18172505141?classType=VARIANT,1349.99,False,In stock,IN_STOCK,https://i5.walmartimages.com/seo/Apple-14-in-MacBook-Pro-M5-chip-w-10-core-CPU-and-10-core-GPU-512GB-SSD-Space-Black-MDE04LL-A-Oct-2025_4e3b8c12-f9f5-48d3-a583-d88c4c43eba8.0e0f740308ed071c0fa921b14f18c6da.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,False,EACH,5817fecc-2b46-4f8d-9a6c-2fddc1a7f487,"<li>Apple M5chip with 10-core CPU and 10-core GPU</li><li>14-inch Liquid Retina XDR display</li><li>512GB Solid State Drive Capacity</li><li>Three Thunderbolt 4 (USB-C) ports, SDXC card slot, HDMI</li>",,,1,,False
